candidate_id,source_run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas,artifact_path,artifact_sha256
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.storage_only_cold_call_gas,44572,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.hash_and_storage_cold_call_gas,45362,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.hash_only_call_gas,1480,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-384.storage_only_cold_call_gas,44833,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.hash_and_storage_cold_call_gas,23277,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.hash_only_call_gas,1436,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,single-keccak-256-lower-bound.storage_only_cold_call_gas,22502,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
V1,research-sp31-v1-isolated-benchmark,hornerGas,129454,,,,,,,,,,,,research/runs/research-sp31-v1-isolated-benchmark.json,a8b6c920c5c6d64654e695f437d5fa3108387a0a87ef8517a3d113d32dc44d1c
V1,research-sp31-v1-isolated-benchmark,materializedGas,727415,,,,,,,,,,,,research/runs/research-sp31-v1-isolated-benchmark.json,a8b6c920c5c6d64654e695f437d5fa3108387a0a87ef8517a3d113d32dc44d1c
V1,research-sp31-v1-isolated-benchmark,streamedGas,128003,,,,,,,,,,,,research/runs/research-sp31-v1-isolated-benchmark.json,a8b6c920c5c6d64654e695f437d5fa3108387a0a87ef8517a3d113d32dc44d1c
