candidate_id,source_run_id,raw_proof_bytes,abi_calldata_bytes,header_bytes,statement_bytes,global_bytes,query_row_bytes,salt_bytes,frontier_bytes,ldt_bytes,final_bytes,continuation_bytes,abi_overhead_bytes,zero_bytes,nonzero_bytes,artifact_path,artifact_sha256
C00/v03-baseline,v03-fixed-20,201196,201864,,,,,,,,,,668,1421,199775,research/runs/v03-fixed-20.json,615681087057045e9919adf727af3f50ba9271be8b19e26571238484f0781962
C00/v03-baseline,v03-fixed-21,213740,214408,,,,,,,,,,668,1393,212347,research/runs/v03-fixed-21.json,bf6f4be9f795cbaac0d0a73de4093b185c273fbc77cc01ded35517630794d7d9
C00/v03-baseline,v03-fixed-22,209452,210120,,,,,,,,,,668,1330,208122,research/runs/v03-fixed-22.json,8abd6d41b199f0339b8d1027ed03dde18fe15d18e21ad938c3b86c4181836930
C00/v03-baseline,v03-fixed-23,207020,207688,,,,,,,,,,668,1330,205690,research/runs/v03-fixed-23.json,a9eb1e560b931efb8c24b36cbaea5e8d0f57fa6f202fa52dfa913377d31b9441
C00/v03-baseline,v03-fixed-24,202924,203592,,,,,,,,,,668,1338,201586,research/runs/v03-fixed-24.json,50b3027d9d5172c8e2ba36501c50ac5a5c5b8533585667bb99c0cbec5f970cf1
C00/v03-baseline,v03-fixed-25,207972,208648,,,,,,,,,,676,1322,206650,research/runs/v03-fixed-25.json,9ac7567410fa760e1c768fd395327dcce8afdeee4e3bb93e89864f708380d697
C00/v03-baseline,v03-fixed-26,210796,211464,,,,,,,,,,668,1385,209411,research/runs/v03-fixed-26.json,5ac17e51daaed77f9fff05a8f423feff335d3814cc459bffa161b0448eec575e
C00/v03-baseline,v03-fixed-27,204524,205192,,,,,,,,,,668,1376,203148,research/runs/v03-fixed-27.json,017b6d59485b5972cdf0d2bc0d65827ca7cb1124dccb3cab8049749c3625111d
C00/v03-baseline,v03-fixed-28,212588,213256,,,,,,,,,,668,1379,211209,research/runs/v03-fixed-28.json,72a15d00f291050b131c247b835fc9dc14f81473be542121e82c06a8e95ce547
C00/v03-baseline,v03-fixed-29,206444,207112,,,,,,,,,,668,1325,205119,research/runs/v03-fixed-29.json,20df01ce1795273ab98dc226ba68eafb6bd75418f7883bf16b7cb0d282734755
C00/v03-baseline,v03-fixed-30,206828,207496,,,,,,,,,,668,1339,205489,research/runs/v03-fixed-30.json,2b043b6bad7b938309215eeec4218649721ba30bf05b6ea9f7509c1f579ad41a
