candidate_id,run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas
F3,research-sp40-f3-field-benchmark,F3/op9/n1,13720,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op0/n1,10219,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op1/n1,10304,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op10/n1,1070166,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op11/n1,100985,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op12/n1,13319,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op13/n128,1307234,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op13/n256,2620729,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op13/n32,334249,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op13/n64,657421,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op14/n16,45361,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op14/n32,72928,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op14/n64,128109,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op15/n16,1382883,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op15/n32,1694440,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op15/n64,2320078,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op16/n64,777792,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op17/n2,52804,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op18/n1,5379,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op19/n1,4341,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op2/n1,10265,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op3/n1,10215,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op4/n1,16041,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op5/n1,12561,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op6/n1,14315,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op7/n1,14699,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op8/n1,15541,,,,,,,,,,,
F4,research-sp40-f4-field-benchmark,F4/op9/n1,15563,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op0/n1,7299,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op1/n1,7382,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op10/n1,519645,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op11/n1,32988,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op12/n1,8816,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op13/n128,659464,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op13/n256,1313998,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op13/n32,171251,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op13/n64,333733,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op14/n16,77910,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op14/n32,105828,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op14/n64,161710,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op15/n16,629651,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op15/n32,737591,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op15/n64,954053,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op16/n64,305721,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op17/n2,102638,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op18/n1,5452,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op19/n1,4412,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op2/n1,7345,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op3/n1,7294,,,,,,,,,,,
F5,research-sp40-f5-field-benchmark,F5/op4/n1,48241,,,,,,,,,,,
