network,chain_id,payload_family,payload_kib,calldata_bytes,payload_sha256,payload_keccak256,calldata_zero_bytes,calldata_nonzero_bytes,eip7623_tokens,regular_intrinsic_gas,eip7623_floor_gas,no_op_calldata_gas,tx_type,tx_nonce,tx_gas_limit,signed_tx_bytes,signed_tx_keccak256,ordinary_sequencer_size_limit_bytes,admission_projection,gas_limit_feasibility,verifier_execution
arbitrum-one,42161,seeded-incompressible,128,131072,7cfd2fd48debe92c676705b8df48ce75a5f8fdb1dca248a6dc430e93610e2ed7,0xf1b46a3bba57e25c5d83e42e61c607010d8ce229b66cf69ac53e6225b6ad96c4,470,130602,522878,2112512,5249780,5249780,EIP-1559_TYPE_2,7,32000000,131191,0x4b8edb330fa775bf2a2307e5bc97256d34f539a19c0226094b2ca22bfca17f16,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,160,163840,aefc8d3913fd8d8ef6bf7c1133ab8b597b5c1207888d823013137033fa2e8359,0x4a9d82f02038b0d46509b220d0700ea9ec0afb908f8ca8bf293e4902a95d5db4,583,163257,653611,2635444,6557110,6557110,EIP-1559_TYPE_2,7,32000000,163959,0x9296cc398ee698529fc166279d221acba0521351e48bc9899c36643cee6cfef3,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,210,215040,f7ce06a42ebb0aa084aadbb60f593fcfe81223fa7ad36ed21ca63c0c11a467fa,0x5385d1c5a0a7d45828ce8c167edc73b53c405cbaca5871177b08d050265932cc,865,214175,857565,3451260,8596650,8596650,EIP-1559_TYPE_2,7,32000000,215159,0x91a8d3f1b33e72ce2cdfbb78b5fa16b0afb161f75fcc5710e6431e05298fb1e2,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,80,81920,c4c8c051d41c36976aa168eb94ddaec9c1a6fa6304b517a3aaaf7935fffce6b2,0x648062204319613e3a3bc5cc50419817f6b895c062c29c509818eeb3ede87b4e,0,81920,327680,1331720,3297800,3297800,EIP-1559_TYPE_2,7,32000000,82039,0xa20ede685851f47284126675f0fc4f609705a03c94bd905aeed99ca19b0d354a,95000,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,90,92160,b0e24a17485c10987076e4a47c1b30e7cc663406f49f27e167e5bd2f0c502812,0xb89cb83bafc6de4848e7e91eb64d9f10960ea1d7223940cf6a558209d6caaf13,0,92160,368640,1495560,3707400,3707400,EIP-1559_TYPE_2,7,32000000,92279,0xcb164ea7baa111370806eebd881572aeb4ad46800d15168be6c9cbd8ce2c35e1,95000,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,110,112640,e4898be1313e31ca9c29c5180045f278249fc04787b411cafba0fadf56c8d5e5,0xe030d703efe64f78799cbb283fbff2d3f5bf1df0296f65b927ad41f7fa2a4d5d,0,112640,450560,1823240,4526600,4526600,EIP-1559_TYPE_2,7,32000000,112759,0x1ad393b9cb8ae7898a8973311416ee6aa8073ef0c312cdfe3b5cbe9067d3f547,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,116,118784,80eb5788d6fda8531ebc10417bf7ffb8b59289e10bad6b5ef2236e03e042288c,0x5ef2a3496687f4943acbc8234c5ea13530e3427d1d13a390e57e4371b3dc0778,0,118784,475136,1921544,4772360,4772360,EIP-1559_TYPE_2,7,32000000,118903,0xb01df39d55811f0518c437fb4007c48fb6722b693f2857b08226cde45d07b8ab,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,120,122880,1c716ab25e8ee58743a20722c0d18d90b82cd00d93b27c4546ea57574db16863,0xec0e080ea146ac6ca60dbef9f2248b74b8ed601f81b801f44f1daebcf90ee503,0,122880,491520,1987080,4936200,4936200,EIP-1559_TYPE_2,7,32000000,122999,0x46e1cf4235569478efe98c51b8725864630b70c9fe7d9a269469b156f70ff3dd,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,128,131072,63e7d6d678eff71c3764a45a3b1f1407e202330f3c10505696c96ed816584286,0x1726d8456023b45daca054c937a365a72de9d3d31babd1369ec1ac147cd1525f,0,131072,524288,2118152,5263880,5263880,EIP-1559_TYPE_2,7,32000000,131191,0xb371bec79f39c4eb448272b7ae3c9dceeee43b79d8903ea2ed5d8bae704dee4e,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,repeated,160,163840,b3bf181efa6f3a2aa1a5fa0bff97d03df60b1af70378504c5edc67e75ffd71bd,0x7b424d8353c0a0258cf55969c6a0a43f6cb3466d401009e30290551fae623a6d,0,163840,655360,2642440,6574600,6574600,EIP-1559_TYPE_2,7,32000000,163959,0xdb12429d1cb756b338e51e0c6e8facdc0a8fe5b5c98fdf4b16791c1ab91f4593,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
