scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
minimum:C21,C21,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C22,C22,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C23,C23,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C30,C30,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
minimum:C40,C40,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
product:aggregation,product-aggregation,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
product:individual-l1,product-individual-l1,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
product:l2,product-l2,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
product:prover-operations,product-prover-operations,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
product:robust-two-call,product-robust-two-call,security,,max,proof,,min,false,INCOMPARABLE_NULL_SECURITY_AND_PROOF,,
