scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
minimum:C21,C21,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C22,C22,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C23,C23,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C30,C30,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
minimum:C40,C40,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
product:aggregation,product-aggregation,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
product:individual-l1,product-individual-l1,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
product:l2,product-l2,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
product:prover-operations,product-prover-operations,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
product:robust-two-call,product-robust-two-call,runtime,,min,verifier,,min,false,INCOMPARABLE_NULL_RUNTIME_AND_VERIFIER,,
