scorecard_id,candidate_id,x_metric,x_value,x_direction,y_metric,y_value,y_direction,comparable,exclusion_reason,nondominated,dominated_by
component:H7,H7,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:T0,T0,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:T1,T1,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:T2,T2,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:T3,T3,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V1,V1,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V2,V2,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V3,V3,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V4,V4,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V5,V5,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V6,V6,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V7,V7,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V8,V8,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:V9,V9,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:air-geometry,SP-20,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:deposit-batching,deposit-batching,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:hash-compression-common,hash-compression-common,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:merkle-shape,merkle-shape,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:structured-relation,SP-21,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
component:v03-baseline,C00/v03-baseline,security,,max,tx,13333063.0,min,false,INCOMPARABLE_NULL_SECURITY,,
component:verifier-optimization-common,SP-31/V1-V9,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C00,C00,security,,max,tx,13333063.0,min,false,INCOMPARABLE_NULL_SECURITY,,
minimum:C01,C01,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C10,C10,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C11,C11,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C12,C12,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C20,C20,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C21,C21,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C22,C22,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C23,C23,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C30,C30,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
minimum:C40,C40,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
product:aggregation,product-aggregation,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
product:individual-l1,product-individual-l1,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
product:l2,product-l2,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
product:prover-operations,product-prover-operations,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
product:robust-two-call,product-robust-two-call,security,,max,tx,,min,false,INCOMPARABLE_NULL_SECURITY_AND_TX,,
