regime,transaction,kind,component,gas,receipt_success,evidence
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,compiler_shared_or_unmapped,493,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,constructor_hashing,14656806,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,constructor_storage,1867439,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,fri_arithmetic,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,inverse_calculations,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,mmcs_hashing_paths,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,nullifier_write,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,ood_quotient,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,other_state,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,parse_canonicality,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,payout_calls,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,public_statement,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,row_reductions,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,transcript_challenges,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,standard_intrinsic,252478,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,code_deposit,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,reconciliation_residual,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,total_not_additive,receipt_gas,16777216,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,air_evaluation,2829504,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,alpha_opening_aggregates,1407191,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,checkpoint_storage_deletion,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,compiler_shared_or_unmapped,2707,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,constructor_hashing,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,constructor_storage,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,exclusive_receipt_component,fri_arithmetic,125494,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
